N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
10,2.6370488288835516,-0.5045438247062415,0.5045438247062415,3.437048828883551,0.2954561752937579,0.2954561752937579
20,2.904518326248318,-0.23707432734147504,0.23707432734147504,3.304518326248318,0.16292567265852487,0.16292567265852487
30,2.988058079142236,-0.15353457444755714,0.15353457444755714,3.2547247458089026,0.11313209221910947,0.11313209221910947
40,3.0284648797549814,-0.11312777383481176,0.11312777383481176,3.2284648797549815,0.08687222616518842,0.08687222616518842
50,3.052196310902996,-0.08939634268679697,0.08939634268679697,3.2121963109029963,0.07060365731320317,0.07060365731320317
60,3.067776489090468,-0.07381616449932515,0.07381616449932515,3.2011098224238017,0.059517168834008594,0.059517168834008594
70,3.0787754136307313,-0.06281723995906185,0.06281723995906185,3.1930611279164456,0.05146847432665247,0.05146847432665247
80,3.0869477342170106,-0.054644919372782486,0.054644919372782486,3.1869477342170107,0.0453550806272176,0.0453550806272176
90,3.0932551919449165,-0.04833746164487662,0.04833746164487662,3.182144080833805,0.04055142724401195,0.04055142724401195
100,3.0982685110985,-0.04332414249129313,0.04332414249129313,3.1782685110984996,0.0366758575087065,0.0366758575087065
