N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
100,3.0982685110985,-0.04332414249129313,0.04332414249129313,3.1782685110984996,0.0366758575087065,0.0366758575087065
200,3.1204170317790454,-0.021175621810747725,0.021175621810747725,3.1604170317790454,0.01882437818925231,0.01882437818925231
300,3.1276193274477135,-0.013973326142079578,0.013973326142079578,3.15428599411438,0.012693340524586816,0.012693340524586816
400,3.131176944839527,-0.010415708750266095,0.010415708750266095,3.151176944839527,0.009584291249733923,0.009584291249733923
500,3.1332951875075414,-0.008297466082251681,0.008297466082251681,3.1492951875075414,0.007702533917748333,0.007702533917748333
600,3.1346996921846624,-0.0068929614051307375,0.0068929614051307375,3.1480330255179956,0.00644037192820246,0.00644037192820246
700,3.135698786783089,-0.005893866806704118,0.005893866806704118,3.1471273582116606,0.005534704621867448,0.005534704621867448
800,3.136445667092194,-0.005146986497599038,0.005146986497599038,3.1464456670921948,0.004853013502401637,0.004853013502401637
900,3.137025025697736,-0.004567627892057224,0.004567627892057224,3.145913914586625,0.004321260996831722,0.004321260996831722
1000,3.137487477002141,-0.004105176587652082,0.004105176587652082,3.1454874770021406,0.003894823412347481,0.003894823412347481
