N,Suma inferior,Residuo inferior,Error absoluto inferior,Suma superior,Residuo superior,Error absoluto superior
1000,3.137487,-0.004105,0.004105,3.145487,0.003895,0.003895
2000,3.139555,-0.002037,0.002037,3.143555,0.001963,0.001963
3000,3.140239,-0.001354,0.001354,3.142906,0.001313,0.001313
4000,3.140580,-0.001013,0.001013,3.142580,0.000987,0.000987
5000,3.140783,-0.000809,0.000809,3.142383,0.000791,0.000791
6000,3.140919,-0.000674,0.000674,3.142252,0.000660,0.000660
7000,3.141016,-0.000577,0.000577,3.142158,0.000566,0.000566
8000,3.141088,-0.000505,0.000505,3.142088,0.000495,0.000495
9000,3.141144,-0.000448,0.000448,3.142033,0.000441,0.000441
10000,3.141189,-0.000403,0.000403,3.141989,0.000397,0.000397
