N,Aprox equiespaciada,Residuo equiespaciada,Error absoluto equiespaciada,Aprox aleatoria,Residuo aleatoria,Error absoluto aleatoria,Aprox coseno,Residuo coseno,Error absoluto coseno
10,3.437049,0.295456,0.295456,3.579370,0.437777,0.437777,3.406939,0.265346,0.265346
20,3.304518,0.162926,0.162926,3.335272,0.193680,0.193680,3.286093,0.144500,0.144500
30,3.254725,0.113132,0.113132,3.273544,0.131952,0.131952,3.240669,0.099077,0.099077
40,3.228465,0.086872,0.086872,3.282474,0.140881,0.140881,3.216944,0.075351,0.075351
50,3.212196,0.070604,0.070604,3.242611,0.101019,0.101019,3.202379,0.060786,0.060786
60,3.201110,0.059517,0.059517,3.243901,0.102308,0.102308,3.192529,0.050937,0.050937
70,3.193061,0.051468,0.051468,3.250866,0.109274,0.109274,3.185426,0.043833,0.043833
80,3.186948,0.045355,0.045355,3.212935,0.071342,0.071342,3.180060,0.038468,0.038468
90,3.182144,0.040551,0.040551,3.212016,0.070424,0.070424,3.175865,0.034272,0.034272
100,3.178269,0.036676,0.036676,3.198663,0.057070,0.057070,3.172494,0.030902,0.030902
