N,Aprox equiespaciada,Residuo equiespaciada,Error absoluto equiespaciada,Aprox aleatoria,Residuo aleatoria,Error absoluto aleatoria,Aprox coseno,Residuo coseno,Error absoluto coseno
100,3.178269,0.036676,0.036676,3.215433,0.073840,0.073840,3.172494,0.030902,0.030902
200,3.160417,0.018824,0.018824,3.177956,0.036363,0.036363,3.157172,0.015579,0.015579
300,3.154286,0.012693,0.012693,3.163254,0.021661,0.021661,3.152007,0.010415,0.010415
400,3.151177,0.009584,0.009584,3.157277,0.015685,0.015685,3.149414,0.007822,0.007822
500,3.149295,0.007703,0.007703,3.159011,0.017418,0.017418,3.147855,0.006263,0.006263
600,3.148033,0.006440,0.006440,3.155605,0.014012,0.014012,3.146814,0.005222,0.005222
700,3.147127,0.005535,0.005535,3.151606,0.010013,0.010013,3.146070,0.004477,0.004477
800,3.146446,0.004853,0.004853,3.151364,0.009771,0.009771,3.145512,0.003919,0.003919
900,3.145914,0.004321,0.004321,3.149879,0.008286,0.008286,3.145077,0.003484,0.003484
1000,3.145487,0.003895,0.003895,3.149506,0.007913,0.007913,3.144729,0.003136,0.003136
