N,Rectangulos,Residuo Rectangulos,Trapecio,Residuo Trapecio,Punto medio,Residuo Punto medio
10,3.037049,-0.104544,3.037049,-0.104544,3.171988,0.030395
20,3.104518,-0.037074,3.104518,-0.037074,3.152411,0.010819
30,3.121391,-0.020201,3.121391,-0.020201,3.147495,0.005902
40,3.128465,-0.013128,3.128465,-0.013128,3.145431,0.003838
50,3.132196,-0.009396,3.132196,-0.009396,3.144341,0.002748
60,3.134443,-0.007149,3.134443,-0.007149,3.143684,0.002091
70,3.135918,-0.005674,3.135918,-0.005674,3.143253,0.001660
80,3.136948,-0.004645,3.136948,-0.004645,3.142952,0.001359
90,3.137700,-0.003893,3.137700,-0.003893,3.142732,0.001139
100,3.138269,-0.003324,3.138269,-0.003324,3.142566,0.000973
