N,Rectangulos,Residuo Rectangulos,Trapecio,Residuo Trapecio,Punto medio,Residuo Punto medio
100,3.138269,-0.003324,3.138269,-0.003324,3.142566,0.000973
200,3.140417,-0.001176,3.140417,-0.001176,3.141937,0.000344
300,3.140953,-0.000640,3.140953,-0.000640,3.141780,0.000187
400,3.141177,-0.000416,3.141177,-0.000416,3.141714,0.000122
500,3.141295,-0.000297,3.141295,-0.000297,3.141680,0.000087
600,3.141366,-0.000226,3.141366,-0.000226,3.141659,0.000066
700,3.141413,-0.000180,3.141413,-0.000180,3.141645,0.000053
800,3.141446,-0.000147,3.141446,-0.000147,3.141636,0.000043
900,3.141469,-0.000123,3.141469,-0.000123,3.141629,0.000036
1000,3.141487,-0.000105,3.141487,-0.000105,3.141623,0.000031
